movie_id,title,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western,synopsis
1394,Swept from the Sea (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"In the 1997 film ""Swept from the Sea,"" a Russian immigrant named Yanko arrives in a small English fishing village and is immediately met with suspicion and hostility from the locals. However, a young woman named Amy is drawn to his mysterious past and the two develop a deep and passionate connection. As their love grows, their bond is tested by the prejudices and traditions of the close-knit community, ultimately leading to a tragic and heart-wrenching conclusion."
744,Michael Collins (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"Michael Collins is a historical biopic that follows the life of the Irish revolutionary leader during the early 20th century. As Collins becomes a key figure in the fight for Irish independence from British rule, he must navigate political tensions, personal relationships, and violent conflicts. Facing betrayal and sacrifice, Collins emerges as a hero and martyr in the struggle for Irish freedom."
1606,Deceiver (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"In the psychological thriller 'Deceiver (1997)', detectives Kennesaw and Braxton are called in to investigate the brutal murder of a wealthy businessman. As they interrogate the prime suspect, a disturbed young man named Wayland, they are drawn into a twisted game of deception and manipulation where nothing is as it seems. As the layers of lies and secrets unravel, the detectives must confront their own moral boundaries in order to uncover the truth behind the murder."
50,Star Wars (1977),1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,"In a galaxy far, far away, a young farm boy named Luke Skywalker discovers he is destined for greatness when he joins forces with a band of rebels to fight against the evil Empire. With the help of a wise Jedi Knight, a daring princess, and a charming smuggler, Luke embarks on a thrilling adventure to rescue Princess Leia, defeat the tyrannical Darth Vader, and restore peace to the galaxy in this epic space opera."
189,"Grand Day Out, A (1992)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"In 'A Grand Day Out', Wallace and Gromit embark on a whimsical adventure to the moon in their homemade rocket in search of cheese. Along the way, they encounter quirky characters and face unexpected challenges, all while showcasing their trademark humor and resourcefulness. With stunning claymation animation and lovable characters, this charming film is a delightful journey that will capture the hearts of audiences of all ages."
483,Casablanca (1942),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"In the classic film 'Casablanca', set during World War II, American expatriate Rick Blaine (Humphrey Bogart) runs a popular nightclub in the Moroccan city of Casablanca. When his former lover Ilsa Lund (Ingrid Bergman) and her husband, resistance leader Victor Laszlo (Paul Henreid), arrive seeking safe passage to America, Rick must confront his feelings for Ilsa and decide whether to help the couple escape the clutches of"
893,For Richer or Poorer (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"In 'For Richer or Poorer (1997)', a wealthy couple, played by Tim Allen and Kirstie Alley, find themselves on the run from the IRS and mobsters after discovering they are victims of embezzlement by their crooked accountant. In an attempt to escape their troubles, they disguise themselves as a plain Amish couple and hide out in an Amish community, where they must adapt to a simpler way of life while trying to evade capture. As they struggle to keep their"
614,Giant (1956),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"In the epic drama ""Giant,"" wealthy Texas rancher Bick Benedict (Rock Hudson) marries the independent and headstrong Leslie Lynnton (Elizabeth Taylor) and brings her back to his sprawling ranch. As their marriage faces challenges from their differing backgrounds and personalities, they must also navigate the changing social landscape of Texas in the early 20th century, including issues of racism and oil wealth. Their lives become intertwined with Jett Rink (James Dean), a rebellious ranch hand who strikes"
1628,Lamerica (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"In the aftermath of the fall of communism in Albania, two opportunistic Italians, Gino and Fiore, travel to the country with a plan to exploit the chaos and poverty by posing as government officials in order to buy up valuable state-owned assets for next to nothing. However, their scheme takes an unexpected turn when they come across a young man named Spiro who is desperate to find his missing friend and is willing to do whatever it takes to survive in this harsh new reality. As Gino and"
1347,"Ballad of Narayama, The (Narayama Bushiko) (1958)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Set in a remote mountain village in Japan, 'Ballad of Narayama, The' follows the story of an elderly woman named Orin who must make the ultimate sacrifice and journey to the sacred mountain of Narayama to die when she reaches the age of 70. As she prepares for her final journey, Orin's family struggles with the harsh realities of life and death in their unforgiving world, leading to a poignant exploration of tradition, duty, and the fleeting nature of human"
1209,Mixed Nuts (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"In this holiday comedy, a group of quirky residents of a suicide prevention hotline office in Los Angeles find themselves dealing with a series of chaotic and hilarious events on Christmas Eve. As they try to help callers in distress, they also navigate personal crises and unexpected visitors, leading to a wild and heartwarming night filled with laughter, love, and plenty of mixed nuts."
889,"Tango Lesson, The (1997)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"In ""The Tango Lesson,"" a successful filmmaker named Sally, played by director Sally Potter, becomes enchanted with the passion and intensity of tango dancing while in Buenos Aires. She teams up with a charismatic tango instructor, Pablo, played by Pablo Verón, to learn the art of the dance. As their professional relationship deepens into a personal one, Sally must navigate the complexities of love, creativity, and self-discovery through the seductive world of tango."
